
hi,22,5,5,10,7,2,11,hi
Geordie,5,1,2,1,0,1,3,Young
Geordie,0,0,0,0,0,0,0,
hi,0,0,0,0,0,0,0,hj
hi,0,0,0,0,0,0,0,hi
e,0,0,0,0,0,0,0,r
g,5,1,2,1,2,2,0,g
g,0,0,0,0,0,0,0,g
h,3,1,1,1,0,2,1,h
h,0,0,0,0,0,0,0,h
hello,2,0,2,0,1,1,0,r
hello,0,0,0,0,0,0,0,f
r,10,3,1,3,2,2,3,r
r,0,0,0,0,0,0,0,r
heruee,2,1,1,0,0,2,0,ere
re,3,0,1,2,0,0,3,re
lol,3,1,1,1,2,0,1,lol
lol,0,0,0,0,0,0,0,ler
er,0,0,0,0,0,0,0,r
ererer,2,0,2,0,1,0,1,r
erer,4,1,1,2,1,1,2,g
ui,4,2,1,1,1,1,2,i
hyc,5,2,1,2,1,2,2,h
b,0,0,0,0,0,0,0,b
v,5,2,1,2,2,2,1,v
s,2,1,0,1,1,1,0,s
vv,3,1,2,0,0,1,2,vv
b,0,0,0,0,0,0,0,b
